Source,Target
100108,110109
100108,110210
100108,110311
100108,110412
100108,110500
100108,110601
100108,110702
100108,110803
100108,110904
100108,111005
100108,111106
100108,111207
100109,100110
100109,100112
100109,100100
100109,100105
100109,100106
100109,100108
100109,110009
100109,110110
100109,110211
100109,110312
100109,110400
100109,110501
100109,110602
100109,110703
100109,110804
100109,110905
100109,111006
100109,111107
100109,111208
100110,100111
100110,100100
100110,100101
100110,100106
100110,100107
100110,100109
100110,110010
100110,110111
100110,110212
100110,110300
100110,110401
100110,110502
100110,110603
100110,110704
100110,110805
100110,110906
100110,111007
100110,111108
100110,111209
100111,100112
100111,100101
100111,100102
100111,100107
100111,100108
100111,100110
100111,110011
100111,110112
100111,110200
100111,110301
100111,110402
100111,110503
100111,110604
100111,110705
100111,110806
100111,110907
100111,111008
100111,111109
100111,111210
100112,100100
100112,100102
100112,100103
100112,100108
100112,100109
100112,100111
100112,110012
100112,110100
100112,110201
100112,110302
100112,110403
100112,110504
100112,110605
100112,110706
100112,110807
100112,110908
100112,111009
100112,111110
100112,111211
100200,100201
100200,100203
100200,100204
100200,100209
100200,100210
100200,100212
100200,110000
100200,110102
100200,110204
100200,110306
100200,110408
100200,110510
100200,110612
100200,110701
100200,110803
100200,110905
100200,111007
100200,111109
100200,111211
100201,100202
100201,100204
100201,100205
100201,100210
100201,100211
100201,100200
100201,110001
100201,110103
100201,110205
100201,110307
100201,110409
100201,110511
100201,110600
100201,110702
100201,110804
100201,110906
100201,111008
100201,111110
100201,111212
100202,100203
100202,100205
100202,100206
100202,100211
100202,100212
100202,100201
100202,110002
100202,110104
100202,110206
100202,110308
100202,110410
100202,110512
100202,110601
100202,110703
100202,110805
100202,110907
100202,111009
100202,111111
100202,111200
100203,100204
100203,100206
100203,100207
100203,100212
100203,100200
100203,100202
100203,110003
100203,110105
100203,110207
100203,110309
100203,110411
100203,110500
100203,110602
100203,110704
100203,110806
100203,110908
100203,111010
100203,111112
100203,111201
100204,100205
100204,100207
100204,100208
100204,100200
100204,100201
100204,100203
100204,110004
100204,110106
100204,110208
100204,110310
100204,110412
100204,110501
100204,110603
100204,110705
100204,110807
100204,110909
100204,111011
100204,111100
100204,111202
100205,100206
100205,100208
100205,100209
100205,100201
100205,100202
100205,100204
100205,110005
100205,110107
100205,110209
100205,110311
